date,id,mtd
200604,iEQDGLSQNT,0.0151
200605,iEQDGLSQNT,-0.0023
200606,iEQDGLSQNT,0.0103
200607,iEQDGLSQNT,0.0148
200608,iEQDGLSQNT,-0.0143
200609,iEQDGLSQNT,0.0018
200610,iEQDGLSQNT,0.0027
200611,iEQDGLSQNT,-0.0027
200612,iEQDGLSQNT,0.0185
200701,iEQDGLSQNT,0.0088
200702,iEQDGLSQNT,-0.002
200703,iEQDGLSQNT,0.0199
200704,iEQDGLSQNT,0.01
200705,iEQDGLSQNT,0.0101
200706,iEQDGLSQNT,0.0094
200707,iEQDGLSQNT,-0.0072
200708,iEQDGLSQNT,-0.041
200709,iEQDGLSQNT,0.0008
200710,iEQDGLSQNT,0.0098
200711,iEQDGLSQNT,-0.0122
200712,iEQDGLSQNT,0.0019
200801,iEQDGLSQNT,-0.0225
200802,iEQDGLSQNT,0.0401
200803,iEQDGLSQNT,-0.0041
200804,iEQDGLSQNT,0.0085
200805,iEQDGLSQNT,0.0319
200806,iEQDGLSQNT,0.0509
200807,iEQDGLSQNT,-0.0173
200808,iEQDGLSQNT,-0.0343
200809,iEQDGLSQNT,-0.0666
200810,iEQDGLSQNT,0.0096
200811,iEQDGLSQNT,0.0137
200812,iEQDGLSQNT,0.0121
200901,iEQDGLSQNT,0.011
200902,iEQDGLSQNT,-0.0176
200903,iEQDGLSQNT,-0.0173
200904,iEQDGLSQNT,-0.0302
200905,iEQDGLSQNT,0.0199
200906,iEQDGLSQNT,0.0007
200907,iEQDGLSQNT,0.0126
200908,iEQDGLSQNT,0.0096
200909,iEQDGLSQNT,-0.003
200910,iEQDGLSQNT,0.013
200911,iEQDGLSQNT,0.0104
200912,iEQDGLSQNT,-0.0068
201001,iEQDGLSQNT,0.0041
201002,iEQDGLSQNT,0.0304
201003,iEQDGLSQNT,0.0066
201004,iEQDGLSQNT,0.0092
201005,iEQDGLSQNT,0.0134
201006,iEQDGLSQNT,-0.0098
